,Links,Name,Rating,Cuisines,Reviews,Avg waiting time,Cost / Person
0,https://www.zomato.com/nagpur/haldirams-hotspot-sadar/order,Haldiram's Hotspot,4.2,"['Street Food', ' Mithai', ' North Indian', ' South Indian', ' Fast Food', ' Beverages']",21.8K,28,150
1,https://www.zomato.com/nagpur/faasos-sadar/order,Faasos,3.7,"['Fast Food', ' North Indian', ' Biryani', ' Rolls', ' Wraps']",7641,37,200
2,https://www.zomato.com/nagpur/khichadiwala-ramdaspeth/order,Khichadiwala,4.1,"['Healthy Food', ' North Indian', ' Beverages']",10.3K,31,100
3,https://www.zomato.com/nagpur/checkers-1-sadar/order,Checkers,4.0,"['Chinese', ' Continental', ' Fast Food', ' North Indian', ' Beverages']",2557,29,200
4,https://www.zomato.com/nagpur/sardaarji-ramdaspeth/order,SardaarJi,4.1,"['Fast Food', ' North Indian', ' Rolls', ' Mughlai', ' Momos', ' Seafood', ' Biryani', ' Desserts']",13.1K,30,250
5,https://www.zomato.com/nagpur/uttar-dakshin-by-naivedhyam-sadar/order,Uttar Dakshin By Naivedhyam,4.2,"['South Indian', ' North Indian']",2822,23,150
6,https://www.zomato.com/nagpur/tiranga-saoji-bhojanalay-ayodhya-nagar/order,Tiranga Saoji Bhojanalay,3.6,"['South Indian', ' North Indian']",1929,29,100
7,https://www.zomato.com/nagpur/nanking-chinese-restaurant-civil-lines/order,Nanking Chinese Restaurant,4.1,"['Chinese', ' Asian', ' Seafood', ' Beverages']",8112,30,400
8,https://www.zomato.com/nagpur/manus-missal-co-pratap-nagar/order,Manu's Missal Co.,4.3,"['Maharashtrian', ' Street Food', ' Fast Food', ' Beverages', ' Desserts']",1319,37,100
9,https://www.zomato.com/nagpur/babbus-food-plaza-sadar/order,Babbu's Food Plaza,3.9,"['North Indian', ' Biryani', ' Mughlai']",6346,27,200
10,https://www.zomato.com/nagpur/dinshaws-ice-cream-parlour-gandhibagh/order,Dinshaw's Ice Cream Parlour,4.4,"['Desserts', ' Ice Cream', ' Fast Food', ' Beverages']",521,21,150
